 time            x1.comp_p       x1.comp_m       dout0           dout1           dout2           dout3           dout4           dout5           dout6           dout7           data_rdy        vinp            vinm           
 0.00000000e+00  9.00000000e-01  9.00000000e-01  4.67213951e-09  4.67213957e-09  4.67213951e-09  4.67213951e-09  4.67213951e-09  4.67213951e-09  4.67213951e-09  4.67213951e-09  4.67213948e-09  9.00000000e-01  9.00000000e-01 
 1.00000000e-12  9.00000000e-01  9.00000000e-01  4.67214067e-09  4.67213944e-09  4.67214016e-09  4.67214008e-09  4.67214020e-09  4.67213918e-09  4.67214004e-09  4.67214051e-09  4.67213998e-09  9.00000050e-01  8.99999950e-01 
 2.00000000e-12  9.00000000e-01  9.00000000e-01  4.67214054e-09  4.67213994e-09  4.67214060e-09  4.67214060e-09  4.67214031e-09  4.67213966e-09  4.67213949e-09  4.67214013e-09  4.67214002e-09  9.00000099e-01  8.99999901e-01 
 4.00000000e-12  9.00000000e-01  9.00000000e-01  4.67214098e-09  4.67213948e-09  4.67214076e-09  4.67214001e-09  4.67214031e-09  4.67214011e-09  4.67213901e-09  4.67213968e-09  4.67213983e-09  9.00000198e-01  8.99999802e-01 
 8.00000000e-12  9.00000000e-01  9.00000000e-01  4.67213994e-09  4.67213995e-09  4.67214041e-09  4.67213926e-09  4.67213986e-09  4.67213945e-09  4.67213875e-09  4.67214048e-09  4.67213920e-09  9.00000397e-01  8.99999603e-01 
 1.60000000e-11  9.00000001e-01  8.99999999e-01  4.67213902e-09  4.67213876e-09  4.67213940e-09  4.67214019e-09  4.67213950e-09  4.67213949e-09  4.67214018e-09  4.67213990e-09  4.67213861e-09  9.00000793e-01  8.99999207e-01 
 3.20000000e-11  9.00000008e-01  8.99999992e-01  4.67213973e-09  4.67213990e-09  4.67213975e-09  4.67213963e-09  4.67213897e-09  4.67213960e-09  4.67213897e-09  4.67213948e-09  4.67214016e-09  9.00001587e-01  8.99998413e-01 
 6.40000000e-11  9.00000043e-01  8.99999957e-01  4.67213922e-09  4.67213978e-09  4.67213954e-09  4.67214008e-09  4.67214098e-09  4.67214029e-09  4.67214093e-09  4.67214003e-09  4.67213960e-09  9.00003173e-01  8.99996827e-01 
 1.00000000e-10  9.00000115e-01  8.99999885e-01  4.67214062e-09  4.67213957e-09  4.67213938e-09  4.67213914e-09  4.67213863e-09  4.67213884e-09  4.67213853e-09  4.67213886e-09  4.67213931e-09  9.00004958e-01  8.99995042e-01 
 1.06400000e-10  9.00000132e-01  8.99999868e-01  4.67229123e-09  4.67229078e-09  4.67229112e-09  4.67229081e-09  4.67229087e-09  4.67229114e-09  4.67229086e-09  4.67228164e-09  1.13364266e-08  9.00005275e-01  8.99994725e-01 
 1.19200000e-10  9.00000168e-01  8.99999831e-01  4.67119281e-09  4.67119179e-09  4.67119173e-09  4.67119173e-09  4.67119206e-09  4.67119236e-09  4.67119196e-09  4.67125096e-09 -1.62723695e-08  9.00005910e-01  8.99994090e-01 
 1.44800000e-10  9.00000253e-01  8.99999747e-01  4.67382963e-09  4.67383015e-09  4.67383008e-09  4.67383030e-09  4.67382966e-09  4.67382956e-09  4.67382947e-09  4.67372402e-09  2.78944931e-08  9.00007179e-01  8.99992821e-01 
 1.96000000e-10  9.00000468e-01  8.99999530e-01  4.67004039e-09  4.67004021e-09  4.67004034e-09  4.67004026e-09  4.67004034e-09  4.67004027e-09  4.67004079e-09  4.67017300e-09 -2.14806482e-08  9.00009717e-01  8.99990283e-01 
